EMP,ESTAB,old_naics,state,county,NAICS2012
0,2,448120,48,001,448120
0,7,44814,48,001,44814
0,7,448140,48,001,448140
0,1,44815,48,001,44815
0,1,448150,48,001,448150
0,3,4482,48,001,4482
0,3,44821,48,001,44821
0,3,448210,48,001,448210
0,3,4483,48,001,4483
0,3,44831,48,001,44831
0,3,448310,48,001,448310
0,4,451,48,001,451
0,3,4511,48,001,4511
0,1,45111,48,001,45111
0,1,451110,48,001,451110
0,1,45112,48,001,45112
0,1,451120,48,001,451120
0,1,45114,48,001,45114
0,1,451140,48,001,451140
0,1,4512,48,001,4512
0,1,45121,48,001,45121
0,1,451211,48,001,451211
0,10,452,48,001,452
0,10,4529,48,001,4529
0,1,45291,48,001,45291
0,1,452910,48,001,452910
0,9,45299,48,001,45299
0,9,452990,48,001,452990
0,17,453,48,001,453
11,4,4531,48,001,4531
11,4,45311,48,001,45311
11,4,453110,48,001,453110
0,5,4532,48,001,4532
0,3,45321,48,001,45321
0,3,453210,48,001,453210
0,2,45322,48,001,45322
0,2,453220,48,001,453220
16,5,4533,48,001,4533
16,5,45331,48,001,45331
16,5,453310,48,001,453310
0,3,4539,48,001,4539
0,1,45391,48,001,45391
0,1,453910,48,001,453910
0,1,45392,48,001,45392
0,1,453920,48,001,453920
0,1,45399,48,001,45399
0,1,453998,48,001,453998
0,3,454,48,001,454
0,1,4542,48,001,4542
0,1,45421,48,001,45421
0,1,454210,48,001,454210
0,2,4543,48,001,4543
0,2,45431,48,001,45431
0,2,454312,48,001,454312
2326,47,48,48,001,48-49
0,1,481,48,001,481
0,1,4812,48,001,4812
0,1,48121,48,001,48121
0,1,481212,48,001,481212
2190,35,484,48,001,484
1870,21,4841,48,001,4841
0,9,48411,48,001,48411
0,9,484110,48,001,484110
0,12,48412,48,001,48412
0,12,484121,48,001,484121
320,14,4842,48,001,4842
0,1,48421,48,001,48421
0,1,484210,48,001,484210
0,11,48422,48,001,48422
0,11,484220,48,001,484220
0,2,48423,48,001,48423
0,2,484230,48,001,484230
61,3,486,48,001,486
61,3,4869,48,001,4869
61,3,48691,48,001,48691
61,3,486910,48,001,486910
8,4,488,48,001,488
0,1,4881,48,001,4881
0,1,48811,48,001,48811
0,1,488119,48,001,488119
0,2,4884,48,001,4884
0,2,48841,48,001,48841
0,2,488410,48,001,488410
0,1,4885,48,001,4885
0,1,48851,48,001,48851
0,1,488510,48,001,488510
0,1,492,48,001,492
0,1,4921,48,001,4921
0,1,49211,48,001,49211
0,1,492110,48,001,492110
0,3,493,48,001,493
0,3,4931,48,001,4931
0,1,49311,48,001,49311
0,1,493110,48,001,493110
0,2,49312,48,001,49312
0,2,493120,48,001,493120
172,14,51,48,001,51
0,2,511,48,001,511
0,2,5111,48,001,5111
0,2,51111,48,001,51111
0,2,511110,48,001,511110
0,1,512,48,001,512
0,1,5121,48,001,5121
0,1,51213,48,001,51213
0,1,512131,48,001,512131
0,1,515,48,001,515
0,1,5151,48,001,5151
0,1,51511,48,001,51511
0,1,515111,48,001,515111
58,8,517,48,001,517
0,4,5171,48,001,5171
0,4,51711,48,001,51711
0,4,517110,48,001,517110
0,2,5172,48,001,5172
0,2,51721,48,001,51721
0,2,517212,48,001,517212
0,2,5175,48,001,5175
0,2,51751,48,001,51751
0,2,517510,48,001,517510
0,1,518,48,001,518
0,1,5182,48,001,5182
0,1,51821,48,001,51821
0,1,518210,48,001,518210
0,1,519,48,001,519
0,1,5191,48,001,5191
0,1,51912,48,001,51912
0,1,519120,48,001,519120
464,57,52,48,001,52
236,28,522,48,001,522
186,13,5221,48,001,5221
163,10,52211,48,001,52211
163,10,522110,48,001,522110
23,3,52213,48,001,52213
23,3,522130,48,001,522130
39,11,5222,48,001,5222
39,11,52229,48,001,52229
22,6,522291,48,001,522291
0,2,522292,48,001,522292
0,3,522298,48,001,522298
11,4,5223,48,001,5223
0,3,52231,48,001,52231
0,3,522310,48,001,522310
0,1,52239,48,001,52239
0,1,522390,48,001,522390
57,6,523,48,001,523
0,4,5231,48,001,5231
0,4,52312,48,001,52312
0,4,523120,48,001,523120
0,2,5239,48,001,5239
0,1,52391,48,001,52391
0,1,523910,48,001,523910
0,1,52393,48,001,52393
0,1,523930,48,001,523930
171,23,524,48,001,524
